time,req_id,current_decode_position,memory_freed,running_count_same_position,total_running_count
1716.2721,8909,0,20,14,330
1716.2721,8910,0,20,13,329
1719.4713,8925,0,20,17,329
1719.4713,8926,0,20,16,328
1719.4713,8909,0,20,21,333
1719.4713,8910,0,20,20,332
1719.4713,8923,0,20,19,331
1719.4713,8924,0,20,18,330
1722.6663,8942,0,20,9,329
1722.6663,8943,0,20,8,328
1722.6663,8944,0,20,7,327
1722.6663,8945,0,20,6,326
1722.6663,8946,0,20,5,325
1722.6663,8947,0,20,4,324
1722.6663,8948,0,20,3,323
1722.6663,8949,0,20,2,322
1722.6663,8950,0,20,1,321
1722.6663,8927,1,21,15,320
1722.6663,8928,1,21,14,319
1722.6663,8925,0,20,11,331
1722.6663,8926,0,20,10,330
1722.6663,8909,0,20,15,335
1722.6663,8910,0,20,14,334
1722.6663,8923,0,20,13,333
1722.6663,8924,0,20,12,332
1725.8600,8942,0,20,21,326
1725.8600,8943,0,20,20,325
1725.8600,8944,0,20,19,324
1725.8600,8945,0,20,18,323
1725.8600,8946,0,20,17,322
1725.8600,8947,0,20,16,321
1725.8600,8948,0,20,15,320
1725.8600,8949,0,20,14,319
1725.8600,8950,0,20,13,318
1725.8600,8927,0,20,12,317
1725.8600,8928,0,20,11,316
1725.8600,8925,0,20,23,328
1725.8600,8926,0,20,22,327
1725.8600,8909,0,20,27,332
1725.8600,8910,0,20,26,331
1725.8600,8923,0,20,25,330
1725.8600,8924,0,20,24,329
1729.0521,8942,0,20,33,329
1729.0521,8943,0,20,32,328
1729.0521,8944,0,20,31,327
1729.0521,8945,0,20,30,326
1729.0521,8946,0,20,29,325
1729.0521,8947,0,20,28,324
1729.0521,8948,0,20,27,323
1729.0521,8949,0,20,26,322
1729.0521,8950,0,20,25,321
1729.0521,8927,0,20,24,320
1729.0521,8928,0,20,23,319
1729.0521,8925,0,20,35,331
1729.0521,8926,0,20,34,330
1729.0521,8909,0,20,39,335
1729.0521,8910,0,20,38,334
1729.0521,8923,0,20,37,333
1729.0521,8924,0,20,36,332
1732.2436,8942,0,20,39,335
1732.2436,8943,0,20,38,334
1732.2436,8944,0,20,37,333
1732.2436,8945,0,20,36,332
1732.2436,8946,0,20,35,331
1732.2436,8947,0,20,34,330
1732.2436,8948,0,20,33,329
1732.2436,8949,0,20,32,328
1732.2436,8950,0,20,31,327
1732.2436,8927,0,20,30,326
1732.2436,8928,0,20,29,325
1732.2436,8925,0,20,41,337
1732.2436,8926,0,20,40,336
1732.2436,8909,0,20,45,341
1732.2436,8910,0,20,44,340
1732.2436,8923,0,20,43,339
1732.2436,8924,0,20,42,338
1735.4364,8925,0,20,34,334
1735.4364,8926,0,20,33,333
1735.4364,8909,0,20,38,338
1735.4364,8910,0,20,37,337
1735.4364,8923,0,20,36,336
1735.4364,8924,0,20,35,335
1738.6330,8925,0,20,18,338
1738.6330,8926,0,20,17,337
1738.6330,9032,0,20,16,336
1738.6330,9033,0,20,15,335
1738.6330,9034,0,20,14,334
1738.6330,9035,0,20,13,333
1738.6330,9036,0,20,12,332
1738.6330,9037,0,20,11,331
1738.6330,9038,0,20,10,330
1738.6330,9039,0,20,9,329
1738.6330,9040,0,20,8,328
1738.6330,8909,0,20,22,342
1738.6330,8910,0,20,21,341
1738.6330,8923,0,20,20,340
1738.6330,8924,0,20,19,339
1741.8254,8925,0,20,25,338
1741.8254,8926,0,20,24,337
1741.8254,9032,0,20,23,336
1741.8254,9033,0,20,22,335
1741.8254,9034,0,20,21,334
1741.8254,9035,0,20,20,333
1741.8254,9036,0,20,19,332
1741.8254,9037,0,20,18,331
1741.8254,9038,0,20,17,330
1741.8254,9039,0,20,16,329
1741.8254,9040,0,20,15,328
1741.8254,9048,0,20,14,327
1741.8254,9049,0,20,13,326
1741.8254,8909,0,20,29,342
1741.8254,8910,0,20,28,341
1741.8254,8923,0,20,27,340
1741.8254,8924,0,20,26,339
1745.0194,8925,0,20,33,340
1745.0194,8926,0,20,32,339
1745.0194,9032,0,20,31,338
1745.0194,9033,0,20,30,337
1745.0194,9034,0,20,29,336
1745.0194,9035,0,20,28,335
1745.0194,9036,0,20,27,334
1745.0194,9037,0,20,26,333
1745.0194,9038,0,20,25,332
1745.0194,9039,0,20,24,331
1745.0194,9040,0,20,23,330
1745.0194,9048,0,20,22,329
1745.0194,9049,0,20,21,328
1745.0194,8909,0,20,37,344
1745.0194,8910,0,20,36,343
1745.0194,8923,0,20,35,342
1745.0194,8924,0,20,34,341
1748.2157,8909,0,20,34,338
1748.2157,8910,0,20,33,337
1748.2157,8923,0,20,32,336
1748.2157,8924,0,20,31,335
1751.4165,8909,0,20,22,341
1751.4165,8910,0,20,21,340
1751.4165,8923,0,20,20,339
1751.4165,8924,0,20,19,338
1751.4165,9099,0,20,18,337
1751.4165,9100,0,20,17,336
1751.4165,9101,0,20,16,335
1751.4165,9102,0,20,15,334
1751.4165,9103,0,20,14,333
1757.8103,9126,0,20,16,334
1757.8103,9127,0,20,15,333
1757.8103,9128,0,20,14,332
1757.8103,9129,0,20,13,331
1757.8103,9125,0,20,17,335
1761.0092,9142,0,20,18,331
1761.0092,9126,0,20,22,335
1761.0092,9127,0,20,21,334
1761.0092,9128,0,20,20,333
1761.0092,9129,0,20,19,332
1761.0092,9125,0,20,23,336
1764.2048,9126,0,20,22,335
1764.2048,9127,0,20,21,334
1764.2048,9128,0,20,20,333
1764.2048,9129,0,20,19,332
1764.2048,9125,0,20,23,336
1767.4040,9125,0,20,20,333
1780.0553,9232,0,20,21,332
1780.0553,9233,0,20,20,331
1780.0553,9234,0,20,19,330
1783.2535,9266,0,20,10,326
1783.2535,9260,0,20,16,332
1783.2535,9261,0,20,15,331
1783.2535,9262,0,20,14,330
1783.2535,9263,0,20,13,329
1783.2535,9264,0,20,12,328
1783.2535,9265,0,20,11,327
1783.2535,9232,0,20,26,342
1783.2535,9233,0,20,25,341
1783.2535,9234,0,20,24,340
1783.2535,9253,0,20,23,339
1783.2535,9254,0,20,22,338
1783.2535,9255,0,20,21,337
1783.2535,9256,0,20,20,336
1783.2535,9257,0,20,19,335
1783.2535,9258,0,20,18,334
1783.2535,9259,0,20,17,333
1789.6442,9260,0,20,10,311
1789.6442,9261,0,20,9,310
1789.6442,9262,0,20,8,309
1789.6442,9263,0,20,7,308
1789.6442,9264,0,20,6,307
1789.6442,9265,0,20,5,306
1789.6442,9232,0,20,20,321
1789.6442,9233,0,20,19,320
1789.6442,9234,0,20,18,319
1789.6442,9253,0,20,17,318
1789.6442,9254,0,20,16,317
1789.6442,9255,0,20,15,316
1789.6442,9256,0,20,14,315
1789.6442,9257,0,20,13,314
1789.6442,9258,0,20,12,313
1789.6442,9259,0,20,11,312
1792.8366,9260,0,20,35,318
1792.8366,9261,0,20,34,317
1792.8366,9262,0,20,33,316
1792.8366,9263,0,20,32,315
1792.8366,9264,0,20,31,314
1792.8366,9265,0,20,30,313
1792.8366,9232,0,20,45,328
1792.8366,9233,0,20,44,327
1792.8366,9234,0,20,43,326
1792.8366,9253,0,20,42,325
1792.8366,9254,0,20,41,324
1792.8366,9255,0,20,40,323
1792.8366,9256,0,20,39,322
1792.8366,9257,0,20,38,321
1792.8366,9258,0,20,37,320
1792.8366,9259,0,20,36,319
1796.0329,9232,0,20,50,334
1796.0329,9233,0,20,49,333
1796.0329,9234,0,20,48,332
1796.0329,9253,0,20,47,331
1796.0329,9254,0,20,46,330
1796.0329,9255,0,20,45,329
1796.0329,9256,0,20,44,328
1796.0329,9257,0,20,43,327
1796.0329,9258,0,20,42,326
1796.0329,9259,0,20,41,325
1845.1452,9567,1,21,19,326
1845.1452,9568,1,21,18,325
1845.1452,9569,1,21,17,324
1845.1452,9570,1,21,16,323
1845.1452,9571,1,21,15,322
1845.1452,9572,1,21,14,321
1845.1452,9595,0,20,1,328
1845.1452,9566,1,21,20,327
1845.1452,9588,0,20,8,335
1845.1452,9589,0,20,7,334
1845.1452,9590,0,20,6,333
1845.1452,9591,0,20,5,332
1845.1452,9592,0,20,4,331
1845.1452,9593,0,20,3,330
1845.1452,9594,0,20,2,329
1845.1452,9586,0,20,10,337
1845.1452,9587,0,20,9,336
1851.5298,9552,4,24,14,302
1851.5298,9553,4,24,13,301
1851.5298,9554,4,24,12,300
1851.5298,9555,4,24,11,299
1851.5298,9556,4,24,10,298
1851.5298,9588,0,20,7,309
1851.5298,9589,0,20,6,308
1851.5298,9590,0,20,5,307
1851.5298,9591,0,20,4,306
1851.5298,9592,0,20,3,305
1851.5298,9593,0,20,2,304
1851.5298,9594,0,20,1,303
1851.5298,9586,0,20,9,311
1851.5298,9587,0,20,8,310
1854.7270,9552,0,20,49,317
1854.7270,9553,0,20,48,316
1854.7270,9554,0,20,47,315
1854.7270,9555,0,20,46,314
1854.7270,9556,0,20,45,313
1854.7270,9595,0,20,44,312
1854.7270,9566,0,20,43,311
1854.7270,9588,0,20,56,324
1854.7270,9589,0,20,55,323
1854.7270,9590,0,20,54,322
1854.7270,9591,0,20,53,321
1854.7270,9592,0,20,52,320
1854.7270,9593,0,20,51,319
1854.7270,9594,0,20,50,318
1854.7270,9586,0,20,58,326
1854.7270,9587,0,20,57,325
1857.9210,9588,0,20,71,341
1857.9210,9589,0,20,70,340
1857.9210,9590,0,20,69,339
1857.9210,9591,0,20,68,338
1857.9210,9592,0,20,67,337
1857.9210,9593,0,20,66,336
1857.9210,9594,0,20,65,335
1857.9210,9586,0,20,73,343
1857.9210,9587,0,20,72,342
1861.1196,9586,0,20,23,338
1861.1196,9587,0,20,22,337
1864.3168,9586,0,20,24,343
1864.3168,9587,0,20,23,342
1864.3168,9703,0,20,22,341
1864.3168,9704,0,20,21,340
1864.3168,9705,0,20,20,339
1864.3168,9706,0,20,19,338
1864.3168,9707,0,20,18,337
1867.5128,9586,0,20,27,345
1867.5128,9587,0,20,26,344
1867.5128,9703,0,20,25,343
1867.5128,9704,0,20,24,342
1867.5128,9705,0,20,23,341
1867.5128,9706,0,20,22,340
1867.5128,9707,0,20,21,339
1867.5128,9725,0,20,20,338
1870.7078,9586,0,20,23,349
1870.7078,9587,0,20,22,348
1870.7078,9703,0,20,21,347
1870.7078,9704,0,20,20,346
1870.7078,9705,0,20,19,345
1870.7078,9706,0,20,18,344
1870.7078,9707,0,20,17,343
1870.7078,9725,0,20,16,342
1870.7078,9745,0,20,15,341
1870.7078,9746,0,20,14,340
1870.7078,9747,0,20,13,339
1870.7078,9748,0,20,12,338
1870.7078,9749,0,20,11,337
1870.7078,9750,0,20,10,336
1870.7078,9751,0,20,9,335
1870.7078,9752,0,20,8,334
1870.7078,9753,0,20,7,333
1870.7078,9754,0,20,6,332
1917.9780,9906,0,20,85,323
1917.9780,9907,0,20,84,322
1917.9780,9908,0,20,83,321
1917.9780,9909,0,20,82,320
1917.9780,9910,0,20,81,319
1917.9780,9911,0,20,80,318
1917.9780,9912,0,20,79,317
1917.9780,9913,0,20,78,316
1917.9780,9914,0,20,77,315
1917.9780,9915,0,20,76,314
1917.9780,9916,0,20,75,313
1917.9780,9917,0,20,74,312
1917.9780,9918,0,20,73,311
1917.9780,9919,0,20,72,310
1917.9780,9920,0,20,71,309
1917.9780,9921,0,20,70,308
1917.9780,9922,0,20,69,307
1963.8631,10221,0,20,7,322
1963.8631,10222,0,20,6,321
1963.8631,10223,0,20,5,320
1963.8631,10224,0,20,4,319
1963.8631,10225,0,20,3,318
1963.8631,10226,0,20,2,317
1963.8631,10227,0,20,1,316
1963.8631,10207,1,21,14,315
1963.8631,10208,1,21,13,314
1963.8631,10209,1,21,12,313
1963.8631,10210,1,21,11,312
1963.8631,10211,1,21,10,311
1963.8631,10212,1,21,9,310
1963.8631,10213,1,21,8,309
1963.8631,10214,1,21,7,308
1963.8631,10215,1,21,6,307
5767.1710,29457,0,20,22,335
5767.1710,29458,0,20,21,334
5767.1710,29459,0,20,20,333
5767.1710,29460,0,20,19,332
5767.1710,29461,0,20,18,331
5767.1710,29462,0,20,17,330
5767.1710,29463,0,20,16,329
5767.1710,29464,0,20,15,328
5767.1710,29465,0,20,14,327
5770.3660,29482,0,20,13,327
5770.3660,29483,0,20,12,326
5770.3660,29484,0,20,11,325
5770.3660,29485,0,20,10,324
5770.3660,29486,0,20,9,323
5770.3660,29457,0,20,25,339
5770.3660,29458,0,20,24,338
5770.3660,29459,0,20,23,337
5770.3660,29460,0,20,22,336
5770.3660,29461,0,20,21,335
5770.3660,29462,0,20,20,334
5770.3660,29463,0,20,19,333
5770.3660,29464,0,20,18,332
5770.3660,29465,0,20,17,331
5770.3660,29479,0,20,16,330
5770.3660,29480,0,20,15,329
5770.3660,29481,0,20,14,328
5773.5616,29482,0,20,15,324
5773.5616,29483,0,20,14,323
5773.5616,29484,0,20,13,322
5773.5616,29485,0,20,12,321
5773.5616,29486,0,20,11,320
5773.5616,29457,0,20,27,336
5773.5616,29458,0,20,26,335
5773.5616,29459,0,20,25,334
5773.5616,29460,0,20,24,333
5773.5616,29461,0,20,23,332
5773.5616,29462,0,20,22,331
5773.5616,29463,0,20,21,330
5773.5616,29464,0,20,20,329
5773.5616,29465,0,20,19,328
5773.5616,29479,0,20,18,327
5773.5616,29480,0,20,17,326
5773.5616,29481,0,20,16,325
5776.7569,29457,0,20,38,336
5776.7569,29458,0,20,37,335
5776.7569,29459,0,20,36,334
5776.7569,29460,0,20,35,333
5776.7569,29461,0,20,34,332
5776.7569,29462,0,20,33,331
5776.7569,29463,0,20,32,330
5776.7569,29464,0,20,31,329
5776.7569,29465,0,20,30,328
5776.7569,29479,0,20,29,327
5776.7569,29480,0,20,28,326
5776.7569,29481,0,20,27,325
5783.1463,29541,0,20,16,331
5783.1463,29542,0,20,15,330
5783.1463,29543,0,20,14,329
5783.1463,29544,0,20,13,328
5783.1463,29545,0,20,12,327
5783.1463,29546,0,20,11,326
5783.1463,29539,0,20,18,333
5783.1463,29540,0,20,17,332
5786.3406,29539,0,20,22,329
5786.3406,29540,0,20,21,328
5789.5372,29539,0,20,13,327
5789.5372,29540,0,20,12,326
5789.5372,29571,0,20,11,325
5894.7400,30103,0,20,25,330
5894.7400,30104,0,20,24,329
5894.7400,30105,0,20,23,328
5894.7400,30106,0,20,22,327
5894.7400,30107,0,20,21,326
5894.7400,30108,0,20,20,325
5894.7400,30099,0,20,29,334
5894.7400,30100,0,20,28,333
5894.7400,30101,0,20,27,332
5894.7400,30102,0,20,26,331
5897.9338,30103,0,20,18,328
5897.9338,30104,0,20,17,327
5897.9338,30105,0,20,16,326
5897.9338,30106,0,20,15,325
5897.9338,30107,0,20,14,324
5897.9338,30108,0,20,13,323
5897.9338,30099,0,20,22,332
5897.9338,30100,0,20,21,331
5897.9338,30101,0,20,20,330
5897.9338,30102,0,20,19,329
5901.1281,30099,0,20,28,330
5901.1281,30100,0,20,27,329
5901.1281,30101,0,20,26,328
5901.1281,30102,0,20,25,327
6843.5018,34949,0,20,15,322
6843.5018,34950,0,20,14,321
6843.5018,34951,0,20,13,320
6843.5018,34952,0,20,12,319
6987.1911,35708,0,20,17,333
6996.7508,35769,0,20,7,331
6996.7508,35770,0,20,6,330
6996.7508,35768,0,20,8,332
6996.7508,35763,0,20,13,337
6996.7508,35764,0,20,12,336
6996.7508,35765,0,20,11,335
6996.7508,35766,0,20,10,334
6996.7508,35767,0,20,9,333
6999.9506,35784,0,20,4,323
6999.9506,35769,0,20,14,333
6999.9506,35770,0,20,13,332
6999.9506,35776,0,20,12,331
6999.9506,35777,0,20,11,330
6999.9506,35778,0,20,10,329
6999.9506,35779,0,20,9,328
6999.9506,35780,0,20,8,327
6999.9506,35781,0,20,7,326
6999.9506,35782,0,20,6,325
6999.9506,35783,0,20,5,324
6999.9506,35768,0,20,15,334
6999.9506,35763,0,20,20,339
6999.9506,35764,0,20,19,338
6999.9506,35765,0,20,18,337
6999.9506,35766,0,20,17,336
6999.9506,35767,0,20,16,335
7003.1446,35784,0,20,17,323
7003.1446,35769,0,20,27,333
7003.1446,35770,0,20,26,332
7003.1446,35776,0,20,25,331
7003.1446,35777,0,20,24,330
7003.1446,35778,0,20,23,329
7003.1446,35779,0,20,22,328
7003.1446,35780,0,20,21,327
7003.1446,35781,0,20,20,326
7003.1446,35782,0,20,19,325
7003.1446,35783,0,20,18,324
7003.1446,35768,0,20,28,334
7003.1446,35763,0,20,33,339
7003.1446,35764,0,20,32,338
7003.1446,35765,0,20,31,337
7003.1446,35766,0,20,30,336
7003.1446,35767,0,20,29,335
7006.3393,35784,0,20,25,327
7006.3393,35769,0,20,35,337
7006.3393,35770,0,20,34,336
7006.3393,35776,0,20,33,335
7006.3393,35777,0,20,32,334
7006.3393,35778,0,20,31,333
7006.3393,35779,0,20,30,332
7006.3393,35780,0,20,29,331
7006.3393,35781,0,20,28,330
7006.3393,35782,0,20,27,329
7006.3393,35783,0,20,26,328
7006.3393,35768,0,20,36,338
7006.3393,35763,0,20,41,343
7006.3393,35764,0,20,40,342
7006.3393,35765,0,20,39,341
7006.3393,35766,0,20,38,340
7006.3393,35767,0,20,37,339
7009.5359,35769,0,20,22,334
7009.5359,35770,0,20,21,333
7009.5359,35776,0,20,20,332
7009.5359,35777,0,20,19,331
7009.5359,35778,0,20,18,330
7009.5359,35779,0,20,17,329
7009.5359,35780,0,20,16,328
7009.5359,35781,0,20,15,327
7009.5359,35782,0,20,14,326
7009.5359,35783,0,20,13,325
7009.5359,35768,0,20,23,335
7009.5359,35763,0,20,28,340
7009.5359,35764,0,20,27,339
7009.5359,35765,0,20,26,338
7009.5359,35766,0,20,25,337
7009.5359,35767,0,20,24,336
7012.7338,35769,0,20,26,334
7012.7338,35770,0,20,25,333
7012.7338,35776,0,20,24,332
7012.7338,35777,0,20,23,331
7012.7338,35778,0,20,22,330
7012.7338,35779,0,20,21,329
7012.7338,35780,0,20,20,328
7012.7338,35781,0,20,19,327
7012.7338,35782,0,20,18,326
7012.7338,35783,0,20,17,325
7012.7338,35839,0,20,16,324
7012.7338,35768,0,20,27,335
7012.7338,35763,0,20,32,340
7012.7338,35764,0,20,31,339
7012.7338,35765,0,20,30,338
7012.7338,35766,0,20,29,337
7012.7338,35767,0,20,28,336
7015.9262,35769,0,20,25,333
7015.9262,35770,0,20,24,332
7015.9262,35776,0,20,23,331
7015.9262,35777,0,20,22,330
7015.9262,35778,0,20,21,329
7015.9262,35779,0,20,20,328
7015.9262,35780,0,20,19,327
7015.9262,35781,0,20,18,326
7015.9262,35782,0,20,17,325
7015.9262,35783,0,20,16,324
