time,batch_id,queue_type,req_ids
0.0000,0,waiting,[0]
1.1500,1,waiting,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
1.1500,1,running,[0]
2.3010,2,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
2.3010,2,running,"[0, 1]"
3.6130,3,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
3.6130,3,running,"[0, 1]"
4.9270,4,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
4.9270,4,running,"[0, 1]"
6.2430,5,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
6.2430,5,running,"[0, 1]"
7.5610,6,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
7.5610,6,running,"[0, 1]"
8.8810,7,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
8.8810,7,running,"[0, 1]"
10.2030,8,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
10.2030,8,running,"[0, 1]"
11.5270,9,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
11.5270,9,running,"[0, 1]"
12.8530,10,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
12.8530,10,running,"[0, 1]"
14.1810,11,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
14.1810,11,running,"[0, 1]"
15.5110,12,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
15.5110,12,running,"[0, 1]"
16.8430,13,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
16.8430,13,running,"[0, 1]"
18.1770,14,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
18.1770,14,running,"[0, 1]"
19.5130,15,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
19.5130,15,running,"[0, 1]"
20.8510,16,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
20.8510,16,running,"[0, 1]"
22.1910,17,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
22.1910,17,running,"[0, 1]"
23.5330,18,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
23.5330,18,running,"[0, 1]"
24.8770,19,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
24.8770,19,running,"[0, 1]"
26.2230,20,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
26.2230,20,running,"[0, 1]"
27.5710,21,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
27.5710,21,running,"[0, 1]"
28.9210,22,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
28.9210,22,running,"[0, 1]"
30.2730,23,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
30.2730,23,running,"[0, 1]"
31.6270,24,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
31.6270,24,running,"[0, 1]"
32.9830,25,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
32.9830,25,running,"[0, 1]"
34.3410,26,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
34.3410,26,running,"[0, 1]"
35.7010,27,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
35.7010,27,running,"[0, 1]"
37.0630,28,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
37.0630,28,running,"[0, 1]"
38.4270,29,waiting,"[2, 3, 4, 5, 6, 7, 8, 9]"
38.4270,29,running,"[0, 1]"
39.7930,30,waiting,"[3, 4, 5, 6, 7, 8, 9]"
39.7930,30,running,"[1, 2]"
41.1510,31,waiting,"[3, 4, 5, 6, 7, 8, 9]"
41.1510,31,running,"[1, 2]"
42.5110,32,waiting,"[4, 5, 6, 7, 8, 9]"
42.5110,32,running,"[2, 3]"
43.8630,33,waiting,"[4, 5, 6, 7, 8, 9]"
43.8630,33,running,"[2, 3]"
45.2170,34,waiting,"[4, 5, 6, 7, 8, 9]"
45.2170,34,running,"[2, 3]"
46.5730,35,waiting,"[4, 5, 6, 7, 8, 9]"
46.5730,35,running,"[2, 3]"
47.9310,36,waiting,"[4, 5, 6, 7, 8, 9]"
47.9310,36,running,"[2, 3]"
49.2910,37,waiting,"[4, 5, 6, 7, 8, 9]"
49.2910,37,running,"[2, 3]"
50.6530,38,waiting,"[4, 5, 6, 7, 8, 9]"
50.6530,38,running,"[2, 3]"
52.0170,39,waiting,"[4, 5, 6, 7, 8, 9]"
52.0170,39,running,"[2, 3]"
53.3830,40,waiting,"[4, 5, 6, 7, 8, 9]"
53.3830,40,running,"[2, 3]"
54.7510,41,waiting,"[4, 5, 6, 7, 8, 9]"
54.7510,41,running,"[2, 3]"
56.1210,42,waiting,"[4, 5, 6, 7, 8, 9]"
56.1210,42,running,"[2, 3]"
57.4930,43,waiting,"[4, 5, 6, 7, 8, 9]"
57.4930,43,running,"[2, 3]"
58.8670,44,waiting,"[4, 5, 6, 7, 8, 9]"
58.8670,44,running,"[2, 3]"
60.2430,45,waiting,"[4, 5, 6, 7, 8, 9]"
60.2430,45,running,"[2, 3]"
61.6210,46,waiting,"[4, 5, 6, 7, 8, 9]"
61.6210,46,running,"[2, 3]"
63.0010,47,waiting,"[4, 5, 6, 7, 8, 9]"
63.0010,47,running,"[2, 3]"
64.3830,48,waiting,"[4, 5, 6, 7, 8, 9]"
64.3830,48,running,"[2, 3]"
65.7670,49,waiting,"[4, 5, 6, 7, 8, 9]"
65.7670,49,running,"[2, 3]"
67.1530,50,waiting,"[4, 5, 6, 7, 8, 9]"
67.1530,50,running,"[2, 3]"
68.5410,51,waiting,"[4, 5, 6, 7, 8, 9]"
68.5410,51,running,"[2, 3]"
69.9310,52,waiting,"[4, 5, 6, 7, 8, 9]"
69.9310,52,running,"[2, 3]"
71.3230,53,waiting,"[4, 5, 6, 7, 8, 9]"
71.3230,53,running,"[2, 3]"
72.7170,54,waiting,"[4, 5, 6, 7, 8, 9]"
72.7170,54,running,"[2, 3]"
74.1130,55,waiting,"[4, 5, 6, 7, 8, 9]"
74.1130,55,running,"[2, 3]"
75.5110,56,waiting,"[4, 5, 6, 7, 8, 9]"
75.5110,56,running,"[2, 3]"
76.9110,57,waiting,"[4, 5, 6, 7, 8, 9]"
76.9110,57,running,"[2, 3]"
78.3130,58,waiting,"[4, 5, 6, 7, 8, 9]"
78.3130,58,running,"[2, 3]"
79.7170,59,waiting,"[4, 5, 6, 7, 8, 9]"
79.7170,59,running,"[2, 3]"
81.1230,60,waiting,"[5, 6, 7, 8, 9]"
81.1230,60,running,"[3, 4]"
82.5210,61,waiting,"[5, 6, 7, 8, 9]"
82.5210,61,running,"[3, 4]"
83.9210,62,waiting,"[6, 7, 8, 9]"
83.9210,62,running,"[4, 5]"
85.3130,63,waiting,"[6, 7, 8, 9]"
85.3130,63,running,"[4, 5]"
86.7070,64,waiting,"[6, 7, 8, 9]"
86.7070,64,running,"[4, 5]"
88.1030,65,waiting,"[6, 7, 8, 9]"
88.1030,65,running,"[4, 5]"
89.5010,66,waiting,"[6, 7, 8, 9]"
89.5010,66,running,"[4, 5]"
90.9010,67,waiting,"[6, 7, 8, 9]"
90.9010,67,running,"[4, 5]"
92.3030,68,waiting,"[6, 7, 8, 9]"
92.3030,68,running,"[4, 5]"
93.7070,69,waiting,"[6, 7, 8, 9]"
93.7070,69,running,"[4, 5]"
95.1130,70,waiting,"[6, 7, 8, 9]"
95.1130,70,running,"[4, 5]"
96.5210,71,waiting,"[6, 7, 8, 9]"
96.5210,71,running,"[4, 5]"
97.9310,72,waiting,"[6, 7, 8, 9]"
97.9310,72,running,"[4, 5]"
99.3430,73,waiting,"[6, 7, 8, 9]"
99.3430,73,running,"[4, 5]"
100.7570,74,waiting,"[6, 7, 8, 9]"
100.7570,74,running,"[4, 5]"
102.1730,75,waiting,"[6, 7, 8, 9]"
102.1730,75,running,"[4, 5]"
103.5910,76,waiting,"[6, 7, 8, 9]"
103.5910,76,running,"[4, 5]"
105.0110,77,waiting,"[6, 7, 8, 9]"
105.0110,77,running,"[4, 5]"
106.4330,78,waiting,"[6, 7, 8, 9]"
106.4330,78,running,"[4, 5]"
107.8570,79,waiting,"[6, 7, 8, 9]"
107.8570,79,running,"[4, 5]"
109.2830,80,waiting,"[6, 7, 8, 9]"
109.2830,80,running,"[4, 5]"
110.7110,81,waiting,"[6, 7, 8, 9]"
110.7110,81,running,"[4, 5]"
112.1410,82,waiting,"[6, 7, 8, 9]"
112.1410,82,running,"[4, 5]"
113.5730,83,waiting,"[6, 7, 8, 9]"
113.5730,83,running,"[4, 5]"
115.0070,84,waiting,"[6, 7, 8, 9]"
115.0070,84,running,"[4, 5]"
116.4430,85,waiting,"[6, 7, 8, 9]"
116.4430,85,running,"[4, 5]"
117.8810,86,waiting,"[6, 7, 8, 9]"
117.8810,86,running,"[4, 5]"
119.3210,87,waiting,"[6, 7, 8, 9]"
119.3210,87,running,"[4, 5]"
120.7630,88,waiting,"[6, 7, 8, 9]"
120.7630,88,running,"[4, 5]"
122.2070,89,waiting,"[6, 7, 8, 9]"
122.2070,89,running,"[4, 5]"
123.6530,90,waiting,"[7, 8, 9]"
123.6530,90,running,"[5, 6]"
125.0910,91,waiting,"[7, 8, 9]"
125.0910,91,running,"[5, 6]"
126.5310,92,waiting,"[8, 9]"
126.5310,92,running,"[6, 7]"
127.9630,93,waiting,"[8, 9]"
127.9630,93,running,"[6, 7]"
129.3970,94,waiting,"[8, 9]"
129.3970,94,running,"[6, 7]"
130.8330,95,waiting,"[8, 9]"
130.8330,95,running,"[6, 7]"
132.2710,96,waiting,"[8, 9]"
132.2710,96,running,"[6, 7]"
133.7110,97,waiting,"[8, 9]"
133.7110,97,running,"[6, 7]"
135.1530,98,waiting,"[8, 9]"
135.1530,98,running,"[6, 7]"
136.5970,99,waiting,"[8, 9]"
136.5970,99,running,"[6, 7]"
138.0430,100,waiting,"[8, 9]"
138.0430,100,running,"[6, 7]"
139.4910,101,waiting,"[8, 9]"
139.4910,101,running,"[6, 7]"
140.9410,102,waiting,"[8, 9]"
140.9410,102,running,"[6, 7]"
142.3930,103,waiting,"[8, 9]"
142.3930,103,running,"[6, 7]"
143.8470,104,waiting,"[8, 9]"
143.8470,104,running,"[6, 7]"
145.3030,105,waiting,"[8, 9]"
145.3030,105,running,"[6, 7]"
146.7610,106,waiting,"[8, 9]"
146.7610,106,running,"[6, 7]"
148.2210,107,waiting,"[8, 9]"
148.2210,107,running,"[6, 7]"
149.6830,108,waiting,"[8, 9]"
149.6830,108,running,"[6, 7]"
151.1470,109,waiting,"[8, 9]"
151.1470,109,running,"[6, 7]"
152.6130,110,waiting,"[8, 9]"
152.6130,110,running,"[6, 7]"
154.0810,111,waiting,"[8, 9]"
154.0810,111,running,"[6, 7]"
155.5510,112,waiting,"[8, 9]"
155.5510,112,running,"[6, 7]"
157.0230,113,waiting,"[8, 9]"
157.0230,113,running,"[6, 7]"
158.4970,114,waiting,"[8, 9]"
158.4970,114,running,"[6, 7]"
159.9730,115,waiting,"[8, 9]"
159.9730,115,running,"[6, 7]"
161.4510,116,waiting,"[8, 9]"
161.4510,116,running,"[6, 7]"
162.9310,117,waiting,"[8, 9]"
162.9310,117,running,"[6, 7]"
164.4130,118,waiting,"[8, 9]"
164.4130,118,running,"[6, 7]"
165.8970,119,waiting,"[8, 9]"
165.8970,119,running,"[6, 7]"
167.3830,120,waiting,"[8, 9]"
167.3830,120,running,[7]
168.6310,121,waiting,"[8, 9]"
168.6310,121,running,[7]
169.8800,122,running,"[8, 9]"
171.3500,123,running,"[8, 9]"
172.8220,124,running,"[8, 9]"
174.2960,125,running,"[8, 9]"
175.7720,126,running,"[8, 9]"
177.2500,127,running,"[8, 9]"
178.7300,128,running,"[8, 9]"
180.2120,129,running,"[8, 9]"
181.6960,130,running,"[8, 9]"
183.1820,131,running,"[8, 9]"
184.6700,132,running,"[8, 9]"
186.1600,133,running,"[8, 9]"
187.6520,134,running,"[8, 9]"
189.1460,135,running,"[8, 9]"
190.6420,136,running,"[8, 9]"
192.1400,137,running,"[8, 9]"
193.6400,138,running,[9]
193.6400,138,swapped,[8]
194.8960,139,running,[9]
194.8960,139,swapped,[8]
196.1530,140,running,[9]
196.1530,140,swapped,[8]
197.4110,141,running,[9]
197.4110,141,swapped,[8]
198.6700,142,running,[9]
198.6700,142,swapped,[8]
199.9300,143,running,[9]
199.9300,143,swapped,[8]
201.1910,144,running,[9]
201.1910,144,swapped,[8]
202.4530,145,running,[9]
202.4530,145,swapped,[8]
203.7160,146,running,[9]
203.7160,146,swapped,[8]
204.9800,147,running,[9]
204.9800,147,swapped,[8]
206.2450,148,running,[9]
206.2450,148,swapped,[8]
207.5110,149,running,[9]
207.5110,149,swapped,[8]
208.7780,150,running,[9]
208.7780,150,swapped,[8]
210.0460,151,running,[9]
210.0460,151,swapped,[8]
211.3150,152,running,[8]
212.5610,153,running,[8]
213.8080,154,running,[8]
215.0560,155,running,[8]
216.3050,156,running,[8]
217.5550,157,running,[8]
218.8060,158,running,[8]
220.0580,159,running,[8]
221.3110,160,running,[8]
222.5650,161,running,[8]
223.8200,162,running,[8]
225.0760,163,running,[8]
226.3330,164,running,[8]
227.5910,165,running,[8]
